avg,analiticno,cas
5.08,3.0011,2.31030535697937
5.06,3.0011,1.8942782878875732
5.05,3.0011,2.1879591941833496
5.07,3.0011,2.307572841644287
5.04,3.0011,1.8358564376831055
5.09,3.0011,2.0343129634857178
5.04,3.0011,2.1015541553497314
5.06,3.0011,2.054743528366089
5.09,3.0011,1.9437966346740723
5.03,3.0011,1.859973430633545
5.03,3.0011,1.9135427474975586
5.05,3.0011,1.8803937435150146
5.07,3.0011,1.839655876159668
5.03,3.0011,1.8679029941558838
5.03,3.0011,1.8481531143188477
5.03,3.0011,1.8657710552215576
5.02,3.0011,1.8402304649353027
5.03,3.0011,1.9094908237457275
5.03,3.0011,1.8005852699279785
5.07,3.0011,1.783601999282837
5.04,3.0011,1.7900981903076172
5.03,3.0011,1.7759149074554443
5.03,3.0011,1.7860450744628906
5.03,3.0011,1.768167495727539
5.04,3.0011,1.81768798828125
5.02,3.0011,1.7587780952453613
5.03,3.0011,1.888610601425171
5.02,3.0011,1.8538627624511719
5.07,3.0011,1.8191094398498535
5.03,3.0011,1.9084720611572266
5.03,3.0011,1.8255915641784668
5.03,3.0011,1.7894132137298584
5.01,3.0011,1.8480730056762695
5.06,3.0011,1.8359019756317139
5.04,3.0011,1.8244996070861816
5.06,3.0011,1.8509869575500488
5.07,3.0011,1.9040546417236328
5.02,3.0011,1.811427354812622
5.01,3.0011,1.8664867877960205
5.04,3.0011,1.8401122093200684
5.05,3.0011,1.858048439025879
5.03,3.0011,2.217024087905884
5.05,3.0011,1.8130383491516113
5.03,3.0011,1.7900149822235107
5.02,3.0011,1.9635965824127197
5.06,3.0011,1.7798974514007568
5.04,3.0011,1.9043025970458984
5.01,3.0011,1.7581267356872559
5.03,3.0011,1.7559173107147217
5.04,3.0011,1.7459807395935059
5.06,3.0011,1.818174123764038
5.05,3.0011,1.809887170791626
5.01,3.0011,1.9026103019714355
5.06,3.0011,1.8303611278533936
5.06,3.0011,1.8298866748809814
5.05,3.0011,2.049438714981079
5.05,3.0011,1.9521191120147705
5.05,3.0011,2.0436267852783203
5.04,3.0011,2.0053043365478516
5.07,3.0011,1.8875610828399658
5.05,3.0011,1.9080145359039307
5.02,3.0011,1.978943109512329
5.06,3.0011,2.937169075012207
5.03,3.0011,1.9736905097961426
5.05,3.0011,2.145778179168701
5.04,3.0011,1.9344043731689453
5.05,3.0011,1.8190622329711914
5.05,3.0011,1.8749275207519531
5.05,3.0011,1.8246641159057617
5.06,3.0011,2.313722848892212
5.03,3.0011,1.9971771240234375
5.07,3.0011,2.1357433795928955
5.05,3.0011,1.948655128479004
5.02,3.0011,1.9422898292541504
5.03,3.0011,2.0874016284942627
5.04,3.0011,1.922351360321045
5.02,3.0011,1.935453176498413
5.02,3.0011,1.8233368396759033
5.06,3.0011,1.8754398822784424
5.02,3.0011,1.963470220565796
5.04,3.0011,1.8603966236114502
5.02,3.0011,1.8558785915374756
5.01,3.0011,1.8354854583740234
5.06,3.0011,1.8955340385437012
5.03,3.0011,1.8610732555389404
5.03,3.0011,2.6692123413085938
5.03,3.0011,1.9633851051330566
5.04,3.0011,1.813201665878296
5.03,3.0011,1.8661408424377441
5.05,3.0011,1.8630015850067139
5.05,3.0011,1.8609168529510498
5.03,3.0011,1.8440852165222168
5.07,3.0011,1.8390562534332275
5.06,3.0011,1.8468706607818604
5.03,3.0011,1.8511254787445068
5.0,3.0011,1.9253628253936768
5.05,3.0011,1.8691325187683105
5.06,3.0011,1.8504703044891357
5.04,3.0011,1.8749721050262451
5.08,3.0011,1.910874366760254
