avg,analiticno,cas
9.93,3.8488,1.4818782806396484
9.84,3.8488,1.4433972835540771
10.2,3.8488,1.3726444244384766
9.97,3.8488,1.315436601638794
10.07,3.8488,1.3342864513397217
10.12,3.8488,1.3598637580871582
10.08,3.8488,1.3002398014068604
10.1,3.8488,1.3100006580352783
10.09,3.8488,1.3017120361328125
9.95,3.8488,1.3044750690460205
9.93,3.8488,1.3119142055511475
9.78,3.8488,1.2780017852783203
10.0,3.8488,1.3606681823730469
9.96,3.8488,1.3193082809448242
9.86,3.8488,1.3799571990966797
9.97,3.8488,1.2978401184082031
9.94,3.8488,1.3383734226226807
9.95,3.8488,1.276097297668457
9.97,3.8488,1.2875022888183594
9.95,3.8488,1.3057079315185547
9.85,3.8488,1.312378168106079
10.08,3.8488,1.3502013683319092
9.9,3.8488,1.3752429485321045
9.94,3.8488,1.3193919658660889
10.01,3.8488,1.2952628135681152
9.89,3.8488,1.2971229553222656
10.06,3.8488,1.3025238513946533
10.18,3.8488,1.2798833847045898
10.12,3.8488,1.261861801147461
9.95,3.8488,1.2792255878448486
10.02,3.8488,1.311079502105713
9.92,3.8488,1.291532278060913
9.89,3.8488,1.2915537357330322
9.81,3.8488,1.2847657203674316
10.02,3.8488,1.2920281887054443
10.0,3.8488,1.291588306427002
9.97,3.8488,1.2823386192321777
9.91,3.8488,1.3852531909942627
9.85,3.8488,1.3055450916290283
10.0,3.8488,1.295947551727295
10.1,3.8488,1.2824761867523193
9.94,3.8488,1.3119351863861084
9.96,3.8488,1.3017494678497314
10.0,3.8488,1.3121838569641113
10.1,3.8488,1.416851282119751
9.79,3.8488,1.3061623573303223
9.96,3.8488,1.2915711402893066
10.07,3.8488,1.2914044857025146
9.98,3.8488,1.4190237522125244
9.91,3.8488,1.4231688976287842
10.12,3.8488,1.4557039737701416
10.06,3.8488,1.3199372291564941
9.9,3.8488,1.2842743396759033
9.92,3.8488,1.346837043762207
9.93,3.8488,1.5050973892211914
9.98,3.8488,1.3157188892364502
10.1,3.8488,1.3059828281402588
9.96,3.8488,1.3121907711029053
9.84,3.8488,1.3318030834197998
9.88,3.8488,1.2802436351776123
9.97,3.8488,1.348240613937378
9.83,3.8488,1.310072898864746
9.8,3.8488,1.3032560348510742
10.06,3.8488,1.3218998908996582
10.01,3.8488,1.379258632659912
10.02,3.8488,1.3360087871551514
9.93,3.8488,1.3052232265472412
10.13,3.8488,1.290067434310913
9.99,3.8488,1.3397064208984375
9.96,3.8488,1.2811598777770996
9.88,3.8488,1.2977542877197266
9.97,3.8488,1.2932360172271729
9.96,3.8488,1.290158987045288
9.94,3.8488,1.2776238918304443
10.01,3.8488,1.293828010559082
10.06,3.8488,1.3240900039672852
9.97,3.8488,1.3551180362701416
9.99,3.8488,1.4087259769439697
10.07,3.8488,1.4565796852111816
10.06,3.8488,1.281785011291504
10.05,3.8488,1.3202698230743408
10.16,3.8488,1.2997279167175293
9.99,3.8488,1.3081493377685547
9.99,3.8488,1.2738358974456787
9.89,3.8488,1.2959914207458496
9.98,3.8488,1.2900595664978027
10.13,3.8488,1.2803001403808594
10.25,3.8488,1.2818665504455566
9.86,3.8488,1.28609037399292
10.02,3.8488,1.277858018875122
10.01,3.8488,1.320392370223999
10.15,3.8488,1.2940363883972168
9.91,3.8488,1.2853693962097168
9.98,3.8488,1.2923526763916016
10.1,3.8488,1.2715363502502441
9.96,3.8488,1.3109242916107178
9.96,3.8488,1.3053157329559326
10.14,3.8488,1.281951904296875
10.02,3.8488,1.27262544631958
9.92,3.8488,1.2993049621582031
