avg,analiticno,cas
3.0,2.021,8.283093214035034
3.0,2.021,8.274199485778809
2.99,2.021,8.321218729019165
3.0,2.021,8.27823257446289
2.99,2.021,8.298484325408936
3.0,2.021,8.278992176055908
2.97,2.021,8.305379629135132
3.0,2.021,8.270594120025635
3.0,2.021,8.308672428131104
2.99,2.021,8.310601472854614
2.98,2.021,8.317228317260742
3.0,2.021,8.269798755645752
3.0,2.021,8.301926612854004
3.0,2.021,8.29070496559143
2.98,2.021,8.30180048942566
2.99,2.021,8.290728569030762
3.0,2.021,8.288471221923828
3.0,2.021,8.285758018493652
3.0,2.021,8.275289058685303
2.98,2.021,8.270065069198608
3.0,2.021,8.29636287689209
3.0,2.021,8.282272577285767
2.99,2.021,8.309047222137451
3.0,2.021,8.306796312332153
3.0,2.021,8.28409719467163
2.98,2.021,8.298938989639282
2.96,2.021,8.29827332496643
3.0,2.021,8.279625415802002
2.99,2.021,8.286921262741089
2.99,2.021,8.305654048919678
3.0,2.021,8.288137197494507
2.99,2.021,8.275137662887573
2.98,2.021,8.287258625030518
2.98,2.021,8.301954746246338
2.99,2.021,8.312164545059204
2.98,2.021,8.283658981323242
2.99,2.021,8.315797090530396
2.99,2.021,8.300775289535522
3.0,2.021,8.290524005889893
2.99,2.021,8.312971115112305
2.99,2.021,8.296638250350952
3.0,2.021,8.295569896697998
3.0,2.021,8.282654285430908
3.0,2.021,8.265877723693848
2.99,2.021,8.310917139053345
3.0,2.021,8.27482533454895
3.0,2.021,8.288084030151367
3.0,2.021,8.30270528793335
2.99,2.021,8.271828174591064
3.0,2.021,8.28823208808899
3.0,2.021,8.302854299545288
2.99,2.021,8.307212591171265
3.0,2.021,8.281123638153076
2.98,2.021,8.28739047050476
3.0,2.021,8.274660110473633
2.99,2.021,8.293037176132202
3.0,2.021,8.289174795150757
2.99,2.021,8.28628396987915
3.0,2.021,8.280595302581787
2.99,2.021,8.26615285873413
2.99,2.021,8.29097294807434
2.99,2.021,8.276052474975586
3.0,2.021,8.27903437614441
3.0,2.021,8.308430433273315
2.99,2.021,8.280222177505493
3.0,2.021,8.321508407592773
3.0,2.021,8.304572820663452
2.99,2.021,8.27611494064331
3.0,2.021,8.302737712860107
3.0,2.021,8.297438621520996
2.99,2.021,8.303253412246704
2.99,2.021,8.296698331832886
2.99,2.021,8.29016661643982
3.0,2.021,8.292877912521362
2.99,2.021,8.276697635650635
2.98,2.021,8.277499914169312
2.99,2.021,8.277864456176758
3.0,2.021,8.29446530342102
3.0,2.021,8.278210163116455
2.99,2.021,8.27517032623291
3.0,2.021,8.2863929271698
3.0,2.021,8.302435874938965
3.0,2.021,8.281357049942017
2.97,2.021,8.278123617172241
2.98,2.021,8.273663997650146
3.0,2.021,8.286251544952393
2.98,2.021,8.285182237625122
3.0,2.021,8.28512692451477
3.0,2.021,8.298166751861572
3.0,2.021,8.280871391296387
2.99,2.021,8.288884162902832
2.99,2.021,8.296241283416748
3.0,2.021,8.280574083328247
3.0,2.021,8.288752555847168
2.98,2.021,8.300541162490845
3.0,2.021,8.290987730026245
3.0,2.021,8.289411783218384
