avg,analiticno,cas
7.746,4.7117,499.86282992362976
7.766,4.7117,499.2512536048889
7.74,4.7117,499.3981635570526
7.761,4.7117,499.4615080356598
7.769,4.7117,498.36562490463257
7.742,4.7117,498.94275188446045
7.762,4.7117,498.8673949241638
7.765,4.7117,499.17969512939453
7.741,4.7117,498.57755160331726
7.771,4.7117,500.24755358695984
7.771,4.7117,499.5952732563019
7.733,4.7117,499.0310444831848
7.772,4.7117,498.3372371196747
7.767,4.7117,499.30337738990784
7.729,4.7117,498.8462624549866
7.767,4.7117,499.5705511569977
7.769,4.7117,498.7819426059723
7.757,4.7117,499.74257612228394
7.804,4.7117,499.1236398220062
7.741,4.7117,500.04918098449707
7.74,4.7117,500.04169178009033
7.739,4.7117,499.6390299797058
7.761,4.7117,499.34932923316956
7.805,4.7117,499.91878366470337
7.735,4.7117,499.7750999927521
7.757,4.7117,500.4557378292084
7.797,4.7117,499.3921003341675
7.73,4.7117,500.17196393013
7.763,4.7117,499.0672745704651
7.785,4.7117,500.0714704990387
7.778,4.7117,499.56350207328796
7.739,4.7117,499.8859210014343
7.737,4.7117,498.9618020057678
7.743,4.7117,500.07688570022583
7.749,4.7117,499.16266107559204
7.723,4.7117,498.9683210849762
7.726,4.7117,498.4591660499573
7.781,4.7117,499.38937640190125
7.749,4.7117,498.5731711387634
7.752,4.7117,498.9235963821411
7.745,4.7117,498.31059741973877
7.759,4.7117,498.8207550048828
7.766,4.7117,498.5937485694885
7.751,4.7117,499.27420926094055
7.762,4.7117,498.78081226348877
7.755,4.7117,499.60782289505005
7.696,4.7117,499.6230854988098
7.793,4.7117,500.12201952934265
7.764,4.7117,499.09115409851074
7.772,4.7117,499.33390974998474
7.724,4.7117,499.53008222579956
7.754,4.7117,500.59223532676697
7.779,4.7117,499.3117196559906
7.764,4.7117,500.30354928970337
7.76,4.7117,499.9957664012909
7.803,4.7117,500.27121329307556
7.799,4.7117,499.57045698165894
7.757,4.7117,499.6002366542816
7.772,4.7117,500.4558401107788
7.728,4.7117,499.83203125
7.716,4.7117,499.22111320495605
7.75,4.7117,500.2009153366089
7.75,4.7117,499.9314458370209
7.769,4.7117,500.3111391067505
7.75,4.7117,498.85369062423706
7.753,4.7117,499.6627514362335
7.673,4.7117,499.24783158302307
7.753,4.7117,499.938996553421
7.762,4.7117,499.52217864990234
7.764,4.7117,500.4995560646057
7.763,4.7117,499.59160566329956
7.785,4.7117,499.8186435699463
7.778,4.7117,498.34742975234985
7.759,4.7117,498.3225290775299
7.739,4.7117,497.2912607192993
7.766,4.7117,498.99639773368835
7.774,4.7117,499.05250215530396
7.733,4.7117,498.86860704421997
7.763,4.7117,498.6170449256897
7.764,4.7117,498.6871576309204
7.765,4.7117,497.58921122550964
7.752,4.7117,498.2055506706238
7.765,4.7117,498.2400908470154
7.736,4.7117,499.5907196998596
7.774,4.7117,498.39067816734314
7.776,4.7117,498.9918432235718
7.738,4.7117,498.62447690963745
7.792,4.7117,498.59709095954895
7.756,4.7117,497.8788809776306
7.775,4.7117,499.25891757011414
7.777,4.7117,499.08291268348694
7.77,4.7117,499.55967831611633
7.763,4.7117,497.9911108016968
7.791,4.7117,499.1873507499695
7.722,4.7117,498.01132559776306
7.758,4.7117,499.1036832332611
7.735,4.7117,498.2875499725342
7.755,4.7117,499.5080690383911
7.757,4.7117,498.35952377319336
7.76,4.7117,498.93975472450256
7.761,4.7117,497.5582730770111
7.779,4.7117,497.88721442222595
7.762,4.7117,498.7004849910736
7.755,4.7117,499.08114433288574
7.747,4.7117,497.9106183052063
7.773,4.7117,499.37858152389526
7.746,4.7117,497.94942831993103
7.717,4.7117,498.4885184764862
7.75,4.7117,495.6473271846771
7.752,4.7117,497.0626859664917
7.739,4.7117,496.42575097084045
7.775,4.7117,496.95515155792236
7.741,4.7117,496.3758111000061
7.756,4.7117,497.2010135650635
7.759,4.7117,497.26989912986755
7.753,4.7117,497.03585839271545
7.75,4.7117,495.92758417129517
7.743,4.7117,498.685448884964
7.758,4.7117,497.4505090713501
7.765,4.7117,497.8396956920624
7.763,4.7117,496.83521270751953
7.759,4.7117,497.8637192249298
7.738,4.7117,497.00808334350586
7.753,4.7117,497.36048197746277
7.765,4.7117,497.21562600135803
7.749,4.7117,496.78752183914185
7.762,4.7117,496.59048318862915
7.762,4.7117,496.9234743118286
7.778,4.7117,496.846928358078
7.801,4.7117,497.94305634498596
7.781,4.7117,496.69884967803955
7.755,4.7117,497.4435348510742
7.744,4.7117,496.8139705657959
7.781,4.7117,497.91176295280457
7.764,4.7117,496.67926502227783
7.766,4.7117,497.6020746231079
7.776,4.7117,497.016081571579
7.78,4.7117,497.93885350227356
7.761,4.7117,496.48845052719116
7.737,4.7117,497.50563311576843
7.754,4.7117,496.60746693611145
7.771,4.7117,497.878710269928
7.749,4.7117,497.705365896225
7.755,4.7117,498.1847243309021
7.768,4.7117,497.63407826423645
7.787,4.7117,497.9780251979828
7.79,4.7117,496.816020488739
7.748,4.7117,497.9695723056793
7.77,4.7117,495.9257974624634
7.755,4.7117,497.6945378780365
7.747,4.7117,497.4725661277771
7.737,4.7117,497.6993818283081
7.73,4.7117,496.57189083099365
7.789,4.7117,496.9036865234375
7.754,4.7117,498.34625458717346
7.758,4.7117,497.93067479133606
7.791,4.7117,497.5702078342438
7.787,4.7117,500.04273772239685
7.765,4.7117,500.0551073551178
7.752,4.7117,500.50918769836426
7.775,4.7117,499.7515642642975
7.763,4.7117,500.03041648864746
7.78,4.7117,500.64684557914734
7.733,4.7117,499.1972451210022
7.737,4.7117,498.53532791137695
7.747,4.7117,499.9135663509369
7.776,4.7117,499.5104911327362
7.762,4.7117,500.02153515815735
7.759,4.7117,498.5020110607147
7.74,4.7117,499.33605313301086
7.741,4.7117,498.8163402080536
7.76,4.7117,499.8957073688507
7.767,4.7117,498.72616624832153
7.777,4.7117,499.010057926178
7.764,4.7117,498.4774203300476
7.77,4.7117,499.3791604042053
7.768,4.7117,497.9879605770111
7.742,4.7117,499.4825990200043
7.743,4.7117,499.4669101238251
7.755,4.7117,499.13727831840515
7.748,4.7117,498.0294556617737
7.727,4.7117,497.7619152069092
7.771,4.7117,498.0886781215668
