avg,analiticno,cas
2.01,1.3796,11.605306386947632
2.01,1.3796,11.613691568374634
2.0,1.3796,11.614820003509521
2.01,1.3796,11.62601613998413
2.0,1.3796,11.629801750183105
2.01,1.3796,11.651980876922607
2.0,1.3796,11.607484817504883
2.03,1.3796,11.613351106643677
2.02,1.3796,11.629417657852173
2.02,1.3796,11.63174319267273
2.03,1.3796,11.617654800415039
2.0,1.3796,11.601519107818604
2.0,1.3796,11.59692931175232
2.0,1.3796,11.6000235080719
2.01,1.3796,11.609758138656616
2.01,1.3796,11.626001119613647
2.02,1.3796,11.689759254455566
2.01,1.3796,11.607338190078735
2.01,1.3796,11.617275476455688
2.02,1.3796,11.610578298568726
2.0,1.3796,11.605847597122192
2.02,1.3796,11.609585285186768
2.01,1.3796,11.668482542037964
2.0,1.3796,11.617541551589966
2.01,1.3796,11.604499340057373
2.0,1.3796,11.625588417053223
2.0,1.3796,11.652616500854492
2.0,1.3796,11.623364925384521
2.0,1.3796,11.606780529022217
2.01,1.3796,11.602683544158936
2.0,1.3796,11.621557235717773
2.01,1.3796,11.603967189788818
2.01,1.3796,11.604225397109985
2.01,1.3796,11.620742082595825
2.0,1.3796,11.617698192596436
2.0,1.3796,11.633211374282837
2.0,1.3796,11.633596181869507
2.0,1.3796,11.647547483444214
2.01,1.3796,11.6217360496521
2.01,1.3796,11.60811471939087
2.0,1.3796,11.59844446182251
2.0,1.3796,11.60535192489624
2.02,1.3796,11.625714302062988
2.0,1.3796,11.619587659835815
2.01,1.3796,11.60772442817688
2.0,1.3796,11.65026068687439
2.01,1.3796,11.625602006912231
2.01,1.3796,11.6312894821167
2.01,1.3796,11.646985054016113
2.01,1.3796,11.640609502792358
2.01,1.3796,11.646791696548462
2.01,1.3796,11.680950403213501
2.01,1.3796,11.613890409469604
2.0,1.3796,11.622883558273315
2.0,1.3796,11.66990351676941
2.01,1.3796,11.675418138504028
2.02,1.3796,11.61918592453003
2.01,1.3796,11.642385959625244
2.0,1.3796,11.666611671447754
2.0,1.3796,11.642661094665527
2.0,1.3796,11.619337320327759
2.0,1.3796,11.625752925872803
2.01,1.3796,11.61597466468811
2.0,1.3796,11.685821294784546
2.0,1.3796,11.611845254898071
2.0,1.3796,11.606536388397217
2.01,1.3796,11.639283895492554
2.02,1.3796,11.62148904800415
2.04,1.3796,11.643152236938477
2.01,1.3796,11.666364669799805
2.0,1.3796,11.703112602233887
2.0,1.3796,11.642199277877808
2.01,1.3796,11.656296968460083
2.01,1.3796,11.618460893630981
2.02,1.3796,11.643559217453003
2.01,1.3796,11.642221212387085
2.0,1.3796,11.63792371749878
2.01,1.3796,11.72939419746399
2.02,1.3796,11.674054622650146
2.0,1.3796,11.665704250335693
2.01,1.3796,11.685636043548584
2.01,1.3796,11.653245449066162
2.0,1.3796,11.6662437915802
2.0,1.3796,11.627654790878296
2.01,1.3796,11.644769191741943
2.01,1.3796,11.678959846496582
2.03,1.3796,11.629510164260864
2.01,1.3796,11.6093270778656
2.02,1.3796,11.62516713142395
2.01,1.3796,11.620503902435303
2.02,1.3796,11.637271404266357
2.0,1.3796,11.611333131790161
2.01,1.3796,11.653656244277954
2.02,1.3796,11.621342658996582
2.02,1.3796,11.67816972732544
2.0,1.3796,11.663604021072388
2.03,1.3796,11.643789768218994
2.02,1.3796,11.654268980026245
2.01,1.3796,11.610219240188599
2.0,1.3796,11.630369424819946
2.01,1.3796,11.602591037750244
2.0,1.3796,11.654661417007446
2.0,1.3796,11.620464324951172
2.02,1.3796,11.61524486541748
2.0,1.3796,11.638956069946289
2.01,1.3796,11.611220598220825
2.01,1.3796,11.609724521636963
2.0,1.3796,11.63410758972168
